beta:0.1, fid:5.440591167104259
beta:0.5, fid:4.833467838364925
beta:1, fid:4.238370918557706
beta:2, fid:3.9856680664395014
beta:4, fid:4.578513336875972
beta:6, fid:4.490348949255406
beta:8, fid:4.718977041680262
beta:10, fid:5.8176390087963625
beta:15, fid:5.651365489346745
beta:20, fid:6.18838430006457
