beta:0.1, fid:11.801470404694925
beta:0.5, fid:10.508425258091847
beta:1, fid:10.031840850832339
beta:2, fid:9.955006318303248
beta:4, fid:6.869014376907614
beta:6, fid:7.078146099842002
beta:8, fid:6.178004172219346
beta:10, fid:5.9951221796657705
beta:15, fid:6.205449978991481
beta:20, fid:6.90538269530748
