beta:0.001, fid:11.578576507399106
beta:0.005, fid:8.962141708656986
beta:0.01, fid:7.793428108705257
beta:0.05, fid:6.146473508990823
beta:0.075, fid:6.32489136037151
beta:0.1, fid:6.457680811872308
beta:0.3, fid:7.768152453862854
beta:0.5, fid:9.165087339288817
beta:1, fid:11.191868727372963
beta:2, fid:14.312194648101041
