beta:0.001, fid:5.779033698666353
beta:0.005, fid:5.017367813652868
beta:0.01, fid:4.574470467136734
beta:0.05, fid:4.0137310092067935
beta:0.075, fid:4.109149814259581
beta:0.1, fid:4.379286734447049
beta:0.3, fid:5.228688218825397
beta:0.5, fid:5.7025597873981155
beta:1, fid:6.823576476814793
beta:2, fid:8.537501849515678
