beta:25, fid:9.020141023728797
beta:30, fid:8.624618809201735
beta:35, fid:8.299473642611133
beta:40, fid:8.312496446454077
beta:45, fid:8.032980798361137
beta:50, fid:8.015419784061834
beta:55, fid:7.873926286843414
beta:60, fid:7.6202776781150305
beta:65, fid:7.3112305468591785
beta:70, fid:7.552590993127012
