beta:25, fid:5.079156962480397
beta:30, fid:5.590050280267633
beta:35, fid:4.673677009853407
beta:40, fid:5.0256360154212985
beta:45, fid:4.918899216874593
beta:50, fid:4.804284017216702
beta:55, fid:4.906553730857752
beta:60, fid:5.256262676616444
beta:65, fid:5.505004921189453
beta:70, fid:4.44196809028
